Date,Rate
21/11/2019,39.025
22/11/2019,38.7742
23/11/2019,38.7671
24/11/2019,38.8271
25/11/2019,38.9836
26/11/2019,38.8694
27/11/2019,39.1031
28/11/2019,39.0268
29/11/2019,39.0636
30/11/2019,39.0636
01/12/2019,39.0161
02/12/2019,39.1782
03/12/2019,39.3466
04/12/2019,39.7221
05/12/2019,39.9793
06/12/2019,39.8757
07/12/2019,39.8757
08/12/2019,39.8876
09/12/2019,39.8391
10/12/2019,39.7994
11/12/2019,39.8973
12/12/2019,40.6247
13/12/2019,40.282
14/12/2019,40.282
15/12/2019,40.3297
16/12/2019,40.0702
17/12/2019,39.7054
18/12/2019,39.5293
19/12/2019,39.3212
20/12/2019,39.2459
21/12/2019,39.2459
22/12/2019,39.2773
23/12/2019,39.0503
24/12/2019,39.0014
25/12/2019,39.0942
26/12/2019,39.2297
27/12/2019,39.4672
28/12/2019,39.4521
29/12/2019,39.4983
30/12/2019,39.3237
31/12/2019,39.3813
01/01/2020,39.865
02/01/2020,39.6298
03/01/2020,39.4554
04/01/2020,39.4554
05/01/2020,39.4469
06/01/2020,39.7207
07/01/2020,39.6899
08/01/2020,39.7752
09/01/2020,39.5538
10/01/2020,39.521
11/01/2020,39.5225
12/01/2020,39.4386
13/01/2020,39.2302
14/01/2020,39.4221
15/01/2020,39.4864
16/01/2020,39.72
17/01/2020,39.5835
18/01/2020,39.5835
19/01/2020,39.5432
20/01/2020,39.4589
21/01/2020,39.6587
22/01/2020,39.9341
23/01/2020,39.9996
24/01/2020,39.9242
25/01/2020,39.9242
26/01/2020,40.0342
27/01/2020,40.1044
28/01/2020,40.0622
29/01/2020,40.3366
30/01/2020,40.7345
31/01/2020,41.21
01/02/2020,41.21
02/02/2020,41.094
03/02/2020,40.3957
04/02/2020,40.3412
05/02/2020,40.284
06/02/2020,40.3084
07/02/2020,40.3705
08/02/2020,40.3705
09/02/2020,40.4302
10/02/2020,40.4247
11/02/2020,40.4295
12/02/2020,40.3854
13/02/2020,40.627
14/02/2020,40.7223
15/02/2020,40.7223
16/02/2020,40.6612
17/02/2020,40.5658
18/02/2020,40.5582
19/02/2020,40.3202
